aaa,aab,aac,aad
clf_AAA_AAA_AAA_A,button_onAction,ShowSwitchBoard_onAction,ctl_AAA_AAA_AAA
clf_AAA_AAA_AAA_B,button_getEnabled,WindowButton_getEnabled,ctl_AAA_AAA_AAA
clf_AAA_AAB_AAA_A,button_onAction,GenerateApp_onAction,ctl_AAA_AAB_AAA
clf_AAA_AAB_AAA_B,button_getEnabled,WindowButton_getEnabled,ctl_AAA_AAB_AAA
clf_AAA_AAC_AAA_A,button_onAction,AboutFramework_onAction,ctl_AAA_AAC_AAA
clf_AAA_AAC_AAA_B,button_getEnabled,WindowButton_getEnabled,ctl_AAA_AAC_AAA
clf_AAA_AAC_AAB_A,button_onAction,HelpFramework_onAction,ctl_AAA_AAC_AAB
clf_AAA_AAC_AAB_B,button_getEnabled,WindowButton_getEnabled,ctl_AAA_AAC_AAB
clf_ABA_AAA_AAA_A,button_onAction,PlotSingleChart_onAction,ctl_ABA_AAA_AAA
clf_ABA_AAA_AAA_B,button_getEnabled,WindowButton_getEnabled,ctl_ABA_AAA_AAA
clf_ABB_AAA_AAA_A,button_onAction,Database_onAction,ctl_ABB_AAA_AAA
clf_ABB_AAA_AAA_B,button_getEnabled,WindowButton_getEnables,ctl_ABB_AAA_AAA
clf_ABC_AAA_AAA_A,button_onAction,About_onAction,ctl_ABC_AAA_AAA
