msys_aaaa_aaaa.aaa,aaa,CHAR,14,,,,Table ID,表ID,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aab,aab,VARCHAR,50,,,,Source Of Data,数据来源,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aac,aac,VARCHAR,200,,,,Original Table Name,原始表名,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aad,aad,VARCHAR,50,,,,Created By,表结构创建人,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aae,aae,DATE,,,,,Created On,创建时间,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aaf,aaf,CHAR,3,,,,Primary Key,主键字段,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aag,aag,CHAR,3,,,,No 1 Composite Index,第一复合索引字段,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aah,aah,CHAR,3,,,,No 2 Composite Index,第二复合索引字段,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aai,aai,CHAR,3,,,,No 3 Composite Index,第三复合索引字段,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aaj,aaj,VARCHAR,200,,,,Table Description,表内容描述,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aak,aak,SMALLINT,,,,,Table Layer,表的层级,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aal,aal,VARCHAR,100,,,,Chinese Name,中文释义,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aam,aam,VARCHAR,100,,,,English Name,英文释义,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aan,aan,BOOLEAN,,,,,Select,选择,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aao,aao,BOOLEAN,,,,,Created,已创建,,,msys_aaaa_aaaa
msys_aaaa_aaaa.aap,aap,BOOLEAN,,,,,Imported,已导入,,,msys_aaaa_aaaa
msys_aaaa_aaab.aaa,aaa,CHAR,18,,,,Field ID,字段ID,,,msys_aaaa_aaab
msys_aaaa_aaab.aab,aab,CHAR,3,,,,Field Code,字段代码,,,msys_aaaa_aaab
msys_aaaa_aaab.aac,aac,VARCHAR,20,,,,Field Type,字段类型,,,msys_aaaa_aaab
msys_aaaa_aaab.aad,aad,CHAR,10,,,,Field Width,字段宽度,,,msys_aaaa_aaab
msys_aaaa_aaab.aae,aae,VARCHAR,10,,,,Precision,精度,,,msys_aaaa_aaab
msys_aaaa_aaab.aaf,aaf,VARCHAR,20,,,,Index Type,索引类型,,,msys_aaaa_aaab
msys_aaaa_aaab.aag,aag,CHAR,1,,,,Index Seq,索引顺序,,,msys_aaaa_aaab
msys_aaaa_aaab.aah,aah,VARCHAR,50,,,,English Name,英文释义,,,msys_aaaa_aaab
msys_aaaa_aaab.aai,aai,VARCHAR,50,,,,Chinese Name,中文释义,,,msys_aaaa_aaab
